latitude,longitude,location,main_road
43.6431200069527,-79.3813860009273,YORK ST & BREMNER BLVD / RAPTORS WAY,YORK ST
43.6422200016549,-79.3840680012892,LOWER SIMCOE ST & BREMNER BLVD,LOWER SIMCOE ST
43.6494610001075,-79.3712669943727,JARVIS ST & FRONT ST E / LOWER JARVIS ST,JARVIS ST
43.6451529957272,-79.3825739992347,UNIVERSITY AVE & FRONT ST W / YORK ST,UNIVERSITY AVE
43.6446850095358,-79.3848610027037,FRONT ST W & SIMCOE ST / LOWER SIMCOE ST,FRONT ST W
43.6438570011493,-79.3888450031211,FRONT ST W & JOHN ST / PRIVATE ACCESS,FRONT ST W
43.6427400100944,-79.3935820060818,SPADINA AVE & FRONT ST W,SPADINA AVE
43.6408870010502,-79.4013240045522,BATHURST ST & FRONT ST W,BATHURST ST
43.6503339946227,-79.371946009712,JARVIS ST & KING ST E,JARVIS ST
43.6529050006026,-79.3631910065289,KING ST E & PARLIAMENT ST,KING ST E
43.6534890014317,-79.36344100899,ADELAIDE ST E & PARLIAMENT ST,ADELAIDE ST E
43.6512640074972,-79.3748159966986,ADELAIDE ST E & CHURCH ST,ADELAIDE ST E
43.6500350042574,-79.3807319914649,BAY ST & ADELAIDE ST W,BAY ST
43.6489809958318,-79.385330003244,UNIVERSITY AVE & ADELAIDE ST W,UNIVERSITY AVE
43.6486069967868,-79.3864830020457,ADELAIDE ST W & SIMCOE ST,ADELAIDE ST W
43.6546980034625,-79.3639570029156,RICHMOND ST E & PARLIAMENT ST,RICHMOND ST E
43.6525400046123,-79.3753520080616,RICHMOND ST E & CHURCH ST,RICHMOND ST E
43.6511680028268,-79.3814130065462,BAY ST & RICHMOND ST W,BAY ST
43.6499149985531,-79.3865059885484,UNIVERSITY AVE & RICHMOND ST W,UNIVERSITY AVE
43.6477429966399,-79.3961449982607,SPADINA AVE & RICHMOND ST W,SPADINA AVE
43.6508269972901,-79.3869500048448,UNIVERSITY AVE & QUEEN ST W,UNIVERSITY AVE
43.6507850045542,-79.3862679961158,UNIVERSITY AVE & QUEEN ST W,UNIVERSITY AVE
43.6396249995224,-79.4598789931166,THE QUEENSWAY & COLBORNE LODGE DR,THE QUEENSWAY
43.6387200010102,-79.4458620072651,THE QUEENSWAY & KING ST W / RONCESVALLES AVE,THE QUEENSWAY
43.6385540031668,-79.4461979997267,THE QUEENSWAY & KING ST W / RONCESVALLES AVE,THE QUEENSWAY
43.6379810034202,-79.4665279934133,THE QUEENSWAY & ELLIS AVE,THE QUEENSWAY
43.6373549995219,-79.4702619948212,THE QUEENSWAY & WINDERMERE AVE,THE QUEENSWAY
43.6236920059756,-79.5150609922626,THE QUEENSWAY & ISLINGTON AVE,THE QUEENSWAY
43.6210459999958,-79.5270669946805,KIPLING AVE & THE QUEENSWAY,KIPLING AVE
43.6569310034762,-79.3746310010372,JARVIS ST & DUNDAS ST E,JARVIS ST
43.656237999307,-79.381032993917,YONGE ST & DUNDAS ST,YONGE ST
43.6546940019772,-79.3879779987806,UNIVERSITY AVE & DUNDAS ST,UNIVERSITY AVE
43.6623110016255,-79.3768519988754,JARVIS ST & CARLTON ST,JARVIS ST
43.661980995765,-79.3792239946116,CARLTON ST & CHURCH ST,CARLTON ST
43.6614319964405,-79.3832719964188,YONGE ST & COLLEGE ST / CARLTON ST,YONGE ST
43.6609200061728,-79.3856920028719,BAY ST & COLLEGE ST,BAY ST
43.6596820070307,-79.3906429994984,UNIVERSITY AVE & COLLEGE ST,UNIVERSITY AVE
43.6588019966228,-79.3958350008438,COLLEGE ST & ST GEORGE ST / BEVERLEY ST,COLLEGE ST
43.673872002157,-79.3678130015072,BLOOR ST W & CASTLE FRANK RD,BLOOR ST W
43.6716840009141,-79.380498997595,BLOOR ST E & TED ROGERS WAY,BLOOR ST E
43.6703179994192,-79.3866269973482,YONGE ST & BLOOR ST,YONGE ST
43.6698140049965,-79.3896430028517,BAY ST & BLOOR ST W,BAY ST
43.6697550016318,-79.3896899973845,BAY ST & BLOOR ST W,BAY ST
43.6685390051661,-79.3942160097075,AVENUE RD & BLOOR ST W,AVENUE RD
43.6665080027107,-79.4038409932634,SPADINA AVE & BLOOR ST W,SPADINA AVE
43.6652230016024,-79.4110829991932,BATHURST ST & BLOOR ST W,BATHURST ST
